epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.658,1.34181,1.00147,1.11451,0.75306,0.62493,0.69231,0.39212,1.24171,0.83232,1.0988,0.000554185,0.000554185,0.000554185
2,382.052,1.30793,0.89075,1.11064,0.76089,0.62174,0.69552,0.40792,1.20518,0.78919,1.08769,0.00109886,0.00109886,0.00109886
3,564.555,1.28923,0.87181,1.10156,0.73778,0.64238,0.68873,0.40079,1.21352,0.80029,1.0892,0.00163254,0.00163254,0.00163254
4,744.741,1.24452,0.83035,1.08574,0.71466,0.6267,0.67172,0.39199,1.20295,0.78571,1.08789,0.00161749,0.00161749,0.00161749
5,924.778,1.20588,0.79803,1.06898,0.7932,0.66786,0.73927,0.43004,1.15648,0.73216,1.06231,0.00160099,0.00160099,0.00160099
6,1108.67,1.19143,0.77953,1.06456,0.81227,0.66836,0.74535,0.43914,1.129,0.70667,1.05756,0.00158448,0.00158448,0.00158448
7,1290.2,1.16665,0.75798,1.05042,0.7627,0.68163,0.74109,0.45633,1.08991,0.68796,1.03778,0.00156798,0.00156798,0.00156798
8,1471.76,1.14318,0.73616,1.03917,0.81282,0.68483,0.76432,0.46567,1.08756,0.67109,1.03615,0.00155148,0.00155148,0.00155148
9,1652.75,1.12897,0.72914,1.03472,0.79434,0.69454,0.76477,0.47584,1.04978,0.65158,1.023,0.00153497,0.00153497,0.00153497
10,1834.39,1.10996,0.71065,1.02802,0.81194,0.71517,0.77591,0.48432,1.0377,0.65717,1.02176,0.00151847,0.00151847,0.00151847
11,2016.54,1.09547,0.69777,1.02153,0.82472,0.70609,0.77901,0.4961,1.01308,0.6268,1.01058,0.00150197,0.00150197,0.00150197
12,2197.03,1.07863,0.68207,1.01419,0.81438,0.72369,0.79189,0.50236,1.01881,0.62157,1.00234,0.00148546,0.00148546,0.00148546
13,2378.33,1.07212,0.67983,1.00856,0.82655,0.71668,0.78536,0.4941,1.01121,0.60172,1.00532,0.00146896,0.00146896,0.00146896
14,2560.24,1.06065,0.66704,1.00624,0.82363,0.73888,0.79727,0.50909,1.00384,0.60333,1.00013,0.00145246,0.00145246,0.00145246
15,2741.41,1.05285,0.66096,1.0017,0.8438,0.73382,0.81109,0.51396,0.99396,0.59341,0.99706,0.00143595,0.00143595,0.00143595
16,2922.73,1.0359,0.64567,0.99578,0.81638,0.72998,0.80551,0.51844,0.97628,0.58984,0.99441,0.00141945,0.00141945,0.00141945
17,3103.12,1.02939,0.64005,0.99513,0.86019,0.73061,0.8171,0.53346,0.95733,0.57556,0.98422,0.00140295,0.00140295,0.00140295
18,3383.22,1.02238,0.63257,0.9902,0.85665,0.74895,0.8222,0.5371,0.94258,0.56898,0.97784,0.00138644,0.00138644,0.00138644
19,3641.56,1.01291,0.62839,0.99087,0.84314,0.75079,0.82743,0.54592,0.94557,0.56136,0.98011,0.00136994,0.00136994,0.00136994
20,3884.09,1.00594,0.62355,0.98578,0.85809,0.74989,0.83408,0.55375,0.92258,0.5455,0.97193,0.00135344,0.00135344,0.00135344
21,4115.72,0.99793,0.61679,0.98144,0.86704,0.74657,0.82536,0.54835,0.92034,0.5472,0.97028,0.00133693,0.00133693,0.00133693
22,4346.19,0.98207,0.60399,0.97746,0.83495,0.74809,0.8298,0.55232,0.91801,0.53888,0.97061,0.00132043,0.00132043,0.00132043
23,4572.93,0.9739,0.59759,0.97168,0.85587,0.76427,0.83988,0.56235,0.90596,0.53679,0.96326,0.00130393,0.00130393,0.00130393
