epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.82,2.80563,2.29378,2.58391,0.54996,0.4055,0.43781,0.19494,1.87748,1.38294,1.62357,0.000554185,0.000554185,0.000554185
2,481.778,1.7656,1.24488,1.49207,0.59442,0.51303,0.53669,0.28389,1.5271,1.21644,1.36838,0.00109886,0.00109886,0.00109886
3,691.451,1.58016,1.08863,1.36305,0.67823,0.57548,0.62417,0.33165,1.41305,0.94916,1.29776,0.00163254,0.00163254,0.00163254
4,931.737,1.47059,0.99618,1.29985,0.6077,0.58229,0.60591,0.34176,1.32438,0.88315,1.25675,0.00161749,0.00161749,0.00161749
5,1141.85,1.39408,0.93493,1.25578,0.73793,0.6052,0.67347,0.37185,1.2814,0.84781,1.21845,0.00160099,0.00160099,0.00160099
6,1322.56,1.36484,0.90556,1.23679,0.72479,0.59579,0.6624,0.37977,1.25679,0.80882,1.20563,0.00158448,0.00158448,0.00158448
7,1503.68,1.31876,0.86631,1.20852,0.73307,0.62443,0.68916,0.40572,1.18784,0.77428,1.16863,0.00156798,0.00156798,0.00156798
8,1681.65,1.29398,0.84742,1.19479,0.75582,0.64109,0.70132,0.40422,1.18753,0.77617,1.16673,0.00155148,0.00155148,0.00155148
9,1860.42,1.26635,0.83029,1.18241,0.74568,0.64192,0.7034,0.41203,1.17474,0.74037,1.15974,0.00153497,0.00153497,0.00153497
10,2039.85,1.24275,0.80743,1.17027,0.74014,0.64312,0.71038,0.42535,1.15257,0.71948,1.14917,0.00151847,0.00151847,0.00151847
11,2237.12,1.22207,0.79518,1.16399,0.80433,0.6585,0.73825,0.43979,1.12214,0.70918,1.13255,0.00150197,0.00150197,0.00150197
12,2468.75,1.20264,0.77041,1.14725,0.78009,0.6744,0.74248,0.44811,1.10679,0.69032,1.12482,0.00148546,0.00148546,0.00148546
13,2690.37,1.19279,0.76652,1.14082,0.77843,0.67379,0.74086,0.45225,1.09528,0.67698,1.11698,0.00146896,0.00146896,0.00146896
14,2910.28,1.17394,0.75222,1.13453,0.80287,0.67181,0.7464,0.4495,1.09249,0.68668,1.11867,0.00145246,0.00145246,0.00145246
15,3135.96,1.17039,0.7461,1.13117,0.809,0.6819,0.75765,0.45806,1.08005,0.66551,1.11072,0.00143595,0.00143595,0.00143595
16,3359.38,1.15066,0.72889,1.12394,0.80298,0.67759,0.74918,0.45928,1.05917,0.65046,1.10436,0.00141945,0.00141945,0.00141945
17,3578.91,1.14305,0.72309,1.11977,0.83407,0.67754,0.76191,0.46614,1.05962,0.64599,1.10525,0.00140295,0.00140295,0.00140295
18,3803.39,1.13109,0.71503,1.11245,0.81453,0.69313,0.76659,0.47104,1.04933,0.64696,1.09218,0.00138644,0.00138644,0.00138644
19,4027.11,1.12259,0.71189,1.113,0.7917,0.69737,0.75988,0.46434,1.04485,0.64213,1.0903,0.00136994,0.00136994,0.00136994
20,4258.54,1.11931,0.70738,1.10699,0.818,0.70623,0.78162,0.48531,1.02827,0.62676,1.08388,0.00135344,0.00135344,0.00135344
21,4485.77,1.10662,0.69586,1.10039,0.83942,0.70758,0.78698,0.49012,1.02403,0.61055,1.07596,0.00133693,0.00133693,0.00133693
22,4709.89,1.09008,0.6818,1.09492,0.82385,0.68801,0.77264,0.48771,1.0138,0.6091,1.07665,0.00132043,0.00132043,0.00132043
23,4929.78,1.08798,0.67687,1.09078,0.83377,0.70696,0.78424,0.49693,0.99524,0.60118,1.06974,0.00130393,0.00130393,0.00130393
24,5139.67,1.08107,0.67528,1.08982,0.82586,0.70361,0.7895,0.50527,0.98984,0.58841,1.06572,0.00128742,0.00128742,0.00128742
25,5320.99,1.06451,0.66044,1.07876,0.85322,0.70174,0.7943,0.50213,0.99782,0.57916,1.06711,0.00127092,0.00127092,0.00127092
26,5507.39,1.06148,0.66144,1.08003,0.81417,0.7185,0.785,0.50332,0.97866,0.58497,1.05886,0.00125442,0.00125442,0.00125442
