epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.102,1.29398,1.46557,1.08923,0.59071,0.45367,0.47631,0.27842,1.21803,0.92042,1.07999,0.000276926,0.000276926,0.000276926
2,508.95,1.1919,0.90904,1.05551,0.67912,0.43225,0.53097,0.31465,1.17595,0.88995,1.06584,0.000543612,0.000543612,0.000543612
3,737.458,1.17516,0.86747,1.04811,0.65251,0.50388,0.54638,0.3267,1.15718,0.86705,1.06361,0.000799302,0.000799302,0.000799302
4,945.424,1.14735,0.83027,1.03826,0.64772,0.55427,0.59344,0.3634,1.11144,0.79324,1.05268,0.00078352,0.00078352,0.00078352
5,1149.21,1.11057,0.78861,1.0239,0.66375,0.61279,0.65601,0.40868,1.10848,0.77532,1.04765,0.000767026,0.000767026,0.000767026
6,1352.47,1.08151,0.77697,1.01076,0.7675,0.58429,0.69155,0.43792,1.05609,0.73062,1.03028,0.000750533,0.000750533,0.000750533
7,1548.5,1.0718,0.73612,1.00761,0.73199,0.62574,0.70456,0.44426,1.02255,0.69044,1.01312,0.00073404,0.00073404,0.00073404
8,1744.47,1.03885,0.70775,0.99593,0.71169,0.65501,0.71295,0.45947,1.02306,0.67628,1.00957,0.000717546,0.000717546,0.000717546
9,1936.16,1.019,0.68469,0.98517,0.76773,0.63859,0.7384,0.47566,1.00649,0.67446,1.00768,0.000701053,0.000701053,0.000701053
10,2125.28,1.00497,0.67203,0.98225,0.76576,0.67409,0.74791,0.47281,0.99213,0.64861,0.9973,0.000684559,0.000684559,0.000684559
11,2288.78,0.98985,0.6536,0.97396,0.81396,0.67827,0.76392,0.49603,0.96399,0.62529,0.98535,0.000668066,0.000668066,0.000668066
12,2451.99,0.97196,0.63941,0.9652,0.78867,0.71384,0.77905,0.51222,0.93943,0.61027,0.97616,0.000651573,0.000651573,0.000651573
13,2618.62,0.95885,0.62425,0.96283,0.80344,0.70224,0.78501,0.52228,0.93267,0.60455,0.97683,0.000635079,0.000635079,0.000635079
14,2779.97,0.94379,0.60793,0.95837,0.83801,0.69302,0.79658,0.53187,0.93007,0.5867,0.97566,0.000618586,0.000618586,0.000618586
